T32n1672_p0745b10║
T32n1672_p0745b11║　　{{No. 1672 [Nos. 1673, 1674]||}}
T32n1672_p0745b12║{{||K1043V30P0674a01L;}}龍樹菩薩為禪{{陀||[阿-可+(施-方)]}}迦王說法要偈
T32n1672_p0745b13║
T32n1672_p0745b14║　　　　{{||畫}}{{||K1043V30P0674a02L;}}宋罽賓三藏求那跋摩譯
T32n1672_p0745b15║　{{||K1043V30P0674a03L;}}禪{{陀||[阿-可+(施-方)]}}迦王應當知　　生死苦惱多眾過
T32n1672_p0745b16║　{{||K1043V30P0674a04L;}}悉為無明所覆障　　吾欲為彼興利益
T32n1672_p0745b17║　{{||K1043V30P0674a05L;}}譬如刻畫造佛像　　智者見之宜恭敬
T32n1672_p0745b18║　{{||K1043V30P0674a06L;}}我依如來說正法　　大王亦應深信受
T32n1672_p0745b19║　{{||K1043V30P0674a07L;}}汝雖先聞牟尼言　　今若聽受轉分別
T32n1672_p0745b20║　{{||K1043V30P0674a08L;}}猶如華池色清淨　　月光垂照踰暉顯
T32n1672_p0745b21║　{{||K1043V30P0674a09L;}}佛說六念當修習　　所謂三寶施戒天
T32n1672_p0745b22║　{{||K1043V30P0674a10L;}}修行十善淨三業　　離酒放逸及邪命
T32n1672_p0745b23║　{{||K1043V30P0674a11L;}}觀身命財速危朽　　應施福田濟窮乏
T32n1672_p0745b24║　{{||K1043V30P0674a12L;}}施為堅牢無與等　　最為第一親近者
T32n1672_p0745b25║　{{||K1043V30P0674a13L;}}勤修淨戒除瑕穢　　亦莫悕求願諸有
T32n1672_p0745b26║　{{||K1043V30P0674a14L;}}譬如大地殖眾物　　戒亦如是生諸善
T32n1672_p0745b27║　{{||K1043V30P0674a15L;}}修忍柔和捨瞋恚　　佛說是行最無上
T32n1672_p0745b28║　{{||K1043V30P0674a16L;}}如是精進及禪智　　具此六行超生死
T32n1672_p0745b29║　{{||K1043V30P0674a17L;}}若能在家孝父母　　此即名為勝福田
T32n1672_p0745c01║　{{||K1043V30P0674a18L;}}現世流布大名稱　　未來福報轉無量
