T32n1676_p0756b15║
T32n1676_p0756b16║　　{{No. 1676||}}
T32n1676_p0756b17║{{||K1461V40P0597c14L;}}廣大發願頌
T32n1676_p0756b18║
T32n1676_p0756b19║　　　　{{||K1461V40P0597c15L;}}龍樹菩薩造
T32n1676_p0756b20║　　　　{{||K1461V40P0597c16L;}}西天譯經三藏朝奉大夫試光
T32n1676_p0756b21║　　　　祿卿傳法大師賜紫臣施護等
T32n1676_p0756b22║　　　　奉　詔譯
T32n1676_p0756b23║　{{||K1461V40P0597c17L;}}所有一切眾生類　　過未現在世無盡
T32n1676_p0756b24║　{{||K1461V40P0597c18L;}}而諸佛剎廣無邊　　彼無邊剎塵充滿
T32n1676_p0756b25║　{{||K1461V40P0597c19L;}}又一一塵為一剎　　廣大佛剎如塵等
T32n1676_p0756b26║　{{||K1461V40P0597c20L;}}一一剎中正覺尊　　如塵無量我普禮
T32n1676_p0756b27║　{{||K1461V40P0597c21L;}}彼塵倍聚諸佛剎　　剎中佛佛我稱讚
T32n1676_p0756b28║　{{||K1461V40P0597c22L;}}我常供養以一心　　經如塵數廣大劫
T32n1676_p0756b29║　{{||K1461V40P0597c23L;}}頂禮諸佛及法眾　　我於三寶常歸命
T32n1676_p0756c01║　{{||K1461V40P0597c24L;}}我悉持以諸妙華　　及眾寶聚常普施
T32n1676_p0756c02║　{{||K1461V40P0598a02L;}}若我已起一切罪　　我今普盡而懺悔
T32n1676_p0756c03║　{{||K1461V40P0598a03L;}}若我未生一切罪　　我一切時常遠離
T32n1676_p0756c04║　{{||K1461V40P0598a04L;}}所有一切勝福事　　我於一切常隨喜
T32n1676_p0756c05║　{{||K1461V40P0598a05L;}}此福迴向於有情　　及佛無上菩提果
T32n1676_p0756c06║　{{||K1461V40P0598a06L;}}如佛正法中所說　　願力堅固復真實
T32n1676_p0756c07║　{{||K1461V40P0598a07L;}}我常供養諸世尊　　願我最後得成佛
T32n1676_p0756c08║　{{||K1461V40P0598a08L;}}願我生生具深智　　常如妙吉祥菩薩
T32n1676_p0756c09║　{{||K1461V40P0598a09L;}}悲心息苦救世{{間||閒}}　　願如觀自在菩薩
T32n1676_p0756c10║　{{||K1461V40P0598a10L;}}賢善愛眼視眾生　　願與普賢尊無異
T32n1676_p0756c11║　{{||K1461V40P0598a11L;}}慈意善觀諸情品　　願我常如慈氏尊
T32n1676_p0756c12║　{{||K1461V40P0598a12L;}}布施願如虛空庫　　持戒願如神通慧
T32n1676_p0756c13║　{{||K1461V40P0598a13L;}}忍辱精進二度門　　願我悉如常精進
T32n1676_p0756c14║　{{||K1461V40P0598a14L;}}定力能攝諸散亂　　願我得如金剛手
T32n1676_p0756c15║　{{||K1461V40P0598a15L;}}善說十地諸法門　　說智願如金剛藏
T32n1676_p0756c16║　{{||K1461V40P0598a16L;}}於佛世尊善請問　　願我得如除蓋{{障||鄣}}
T32n1676_p0756c17║　{{||K1461V40P0598a17L;}}深心智慧具堅固　　願我常如堅固慧
T32n1676_p0756c18║　{{||K1461V40P0598a18L;}}神通無礙善方便　　願我得如無垢稱
T32n1676_p0756c19║　{{||K1461V40P0598a19L;}}善護眾生諸善根　　勤勇願如常勇猛
T32n1676_p0756c20║　{{||K1461V40P0598a20L;}}善說波羅蜜等法　　願我得如無盡意
T32n1676_p0756c21║　{{||K1461V40P0598a21L;}}具足無量妙音聲　　願與妙音尊無異
T32n1676_p0756c22║　{{||K1461V40P0598a22L;}}近善知識心無懈　　願我生生如善財
T32n1676_p0756c23║　{{||K1461V40P0598a23L;}}虛空無喻法能宣　　願我得如虛空藏
T32n1676_p0756c24║　{{||K1461V40P0598a24L;}}地能長養諸世間　　普利願如地藏尊
T32n1676_p0756c25║　{{||K1461V40P0598b02L;}}息除貧苦利眾生　　願與寶藏神無異
T32n1676_p0756c26║　{{||K1461V40P0598b03L;}}語出無盡妙法寶　　願我得如曇無竭
T32n1676_p0756c27║　{{||K1461V40P0598b04L;}}智慧堅利復常勤　　願與常啼尊無異
T32n1676_p0756c28║　{{||K1461V40P0598b05L;}}此等最上諸佛子　　最勝功德聚無邊
T32n1676_p0756c29║　{{||K1461V40P0598b06L;}}名稱廣大復無盡　　願我名稱亦如是
T32n1676_p0757a01║　{{||K1461V40P0598b07L;}}我此讚佛功德聚　　最上勝善極廣大
T32n1676_p0757a02║　{{||K1461V40P0598b08L;}}普願世{{間||閒}}諸有情　　住彼最勝功德聚
T32n1676_p0757a03║{{||K1461V40P0598b09L;}}廣大發願頌{{||K1461V40P0598b10L;}}{{||甲辰歲高麗國大藏都監奉[束*力]彫造}}

