【壹】TK待執行清單 20140115-shin.txt
     （備注：共 224部。「+ 」號，shin 於 2025年5月16日已移除）
 
 *****************************
 TK作業清單 20140115 for shin
  # 行首有 + 號者表示過去已經處理完成，Shin 不用再處理。
  # 行首有 S 號者表示交給 Shin  執行的新一波作業。共 422 經 1122 卷。
  ─────────────────────────────────────
  大正            高麗          卷
  經號---冊-頁    經號------冊  數 經名(卷數)【朝代 作譯者】
  ───────  ──────  ─ ────────────────────
S T1070--20-p0149 K0309-----11   1 佛說十一面觀世音神[口*兄]經(1卷)【北周 耶舍崛多譯】
S T1071--20-p0152 K0310-----11   1 十一面神[口*兄]心經(1卷)【唐 玄奘譯】
S T1075--20-p0173 K0315-----11   1 佛說七俱胝佛母准提大明陀羅尼經(1卷)【唐 金剛智譯】
S T1076--20-p0178 K1338-----36   1 七俱胝佛母所說准提陀羅尼經(1卷)【唐 不空譯】
S T1077--20-p0185 K0314-----11   1 佛說七俱胝佛母心大准提陀羅尼經(1卷)【唐 地婆訶羅譯】
S T1080--20-p0188 K0298-----11   1 如意輪陀羅尼經(1卷)【唐 菩提流志譯】
S T1081--20-p0196 K0297-----11   1 佛說觀自在菩薩如意心陀羅尼[口*兄]經(1卷)【唐 義淨譯】
S T1082--20-p0197 K0296-----11   1 觀世音菩薩祕密藏如意輪陀羅尼神[口*兄]經(1卷)【唐 實叉難陀譯】
S T1083--20-p0200 K0295-----11   1 觀世音菩薩如意摩尼陀羅尼經(1卷)【唐 寶思惟譯】
S T1085--20-p0203 K1323-----36   1 觀自在菩薩如意輪念誦儀軌(1卷)【唐 不空譯】
S T1086--20-p0206 K1379-----37   1 觀自在菩薩如意輪瑜伽(1卷)【唐 不空譯】
S T1087--20-p0211 K0472-----13   1 觀自在如意輪菩薩瑜伽法要(1卷)【唐 金剛智譯】
S T1092--20-p0227 K0287-----11  30 不空[罩-卓+絹]索神變真言經(30卷)【唐 菩提流志譯】
S T1093--20-p0399 K0288-----11   1 不空[罩-卓+絹]索[口*兄]經(1卷)【隋 闍那崛多譯】
S T1094--20-p0402 K0289-----11   1 不空[罩-卓+絹]索神[口*兄]心經(1卷)【唐 玄奘譯】
S T1096--20-p0409 K0291-----11   1 不空[罩-卓+絹]索陀羅尼經(1卷)【唐 李無諂譯】
S T1097--20-p0421 K0290-----11   3 不空[罩-卓+絹]索陀羅尼自在王[口*兄]經(3卷)【唐 寶思惟譯】
S T1099--20-p0443 K1456-----40   1 佛說聖觀自在菩薩不空王祕密心陀羅尼經(1卷)【宋 施護等譯】
S T1100--20-p0447 K1305-----36   1 葉衣觀自在菩薩經(1卷)【唐 不空譯】
S T1101--20-p0450 K1276-----36   1 佛說大方廣曼殊室利經(1卷)【唐 不空譯】
